gpu_id: 0/utilization.gpu (%),gpu_id: 0/memory.used (MB),gpu_id: 0/memory.free (MB),gpu_id: 0/utilization.memory (%),step,train_loss,epoch
73.0,13500.0,27036.0,55.0,49,,
58.0,13500.0,27036.0,44.0,49,,
95.0,13500.0,27036.0,72.0,99,,
44.0,13500.0,27036.0,34.0,99,,
72.0,13500.0,27036.0,54.0,149,,
58.0,13500.0,27036.0,44.0,149,,
95.0,13500.0,27036.0,72.0,199,,
46.0,13500.0,27036.0,35.0,199,,
70.0,13508.0,27028.0,54.0,249,,
58.0,13508.0,27028.0,44.0,249,,
36.0,13508.0,27028.0,27.0,299,,
58.0,13508.0,27028.0,44.0,299,,
,,,,299,0.3032112419605255,0
